	[Abort Jobs]
	OID	Abort	Delay
[1]	8	6	0
[2]	4	11	0
[3]	3	15	9
[4]	6	17	11
[5]	5	20	10
[6]	216	56	0
[7]	219	56	0
[8]	222	250	0
[9]	221	551	500
[10]	211	558	502
[11]	215	559	503
[12]	235	565	14
[13]	204	601	0
[14]	205	601	0
[15]	206	601	0
[16]	201	608	7
[17]	202	608	7
[18]	203	608	7
[19]	303	860	110
[20]	304	860	110
[21]	305	860	10
[22]	310	860	0
[23]	311	860	0
[24]	312	860	0
[25]	313	860	0
[26]	314	860	0
[27]	315	860	0
[28]	316	860	0
[29]	307	861	1
[30]	308	861	1
[31]	309	861	1
[32]	325	863	2
[33]	333	869	4
[34]	334	869	4
[35]	349	876	0
[36]	346	877	4
[37]	347	879	6
[38]	348	879	6
[39]	424	1001	0
[40]	421	1007	6
[41]	422	1007	6
[42]	423	1007	6
[43]	417	1010	0
[44]	418	1011	0
[45]	414	1013	6
[46]	415	1014	7
[47]	416	1014	7
[48]	419	1015	3
[49]	435	1016	0
[50]	436	1016	0
[51]	437	1016	0
[52]	438	1016	0
[53]	439	1016	0
[54]	440	1016	0
[55]	441	1016	0
[56]	442	1016	0
[57]	432	1065	49
[58]	433	1065	49
[59]	434	1065	49
	[Done Jobs]
	OID	Departure	Delay
[1]	10	7	0
[2]	12	13	2
[3]	220	551	0
[4]	242	560	0
[5]	232	607	0
[6]	301	850	0
[7]	302	860	100
[8]	306	861	0
[9]	324	863	0
[10]	332	867	0
[11]	335	871	2
[12]	345	877	0
[13]	420	1007	0
[14]	413	1012	0
[15]	420	1015	0
[16]	431	1065	0
[17]	2015	2379	0
[18]	2017	32767	-32767
[Average Delay]	-398.00 ms
[Success Rate]	23.38 %
