	[Aborts Jos]
	OID	Abort	Delay
[1]	24	1	0	
[2]	120	1	0	
[3]	120	1	0	
[4]	121	1	0	
[5]	121	1	0	
[6]	272	1	0	
[7]	131	2	0	
[8]	101	3	0	
[9]	112	5	0	
[10]	103	6	0	
[11]	106	6	0	
[12]	108	6	0	
[13]	111	6	0	
[14]	111	6	0	
[15]	115	6	0	
[16]	115	6	0	
[17]	116	6	0	
[18]	116	6	0	
[19]	119	6	0	
[20]	119	6	0	
[21]	298	6	0	
[22]	21	7	6	
[23]	15	7	0	
[24]	16	7	0	
[25]	22	7	6	
[26]	23	8	7	
[27]	18	11	0	
[28]	104	11	0	
[29]	14	13	6	
[30]	17	15	5	
[31]	105	20	10	
[32]	19	15	3	
[33]	20	15	2	
[34]	35	16	0	
[35]	36	16	0	
[36]	37	16	0	
[37]	38	16	0	
[38]	39	16	0	
[39]	40	16	0	
[40]	41	16	0	
[41]	42	16	0	
[42]	267	30	0	
[43]	117	45	0	
[44]	21	50	0	
[45]	22	50	0	
[46]	23	50	0	
[47]	54	50	0	
[48]	274	50	0	
[49]	32	65	49	
[50]	33	65	49	
[51]	34	65	49	
[52]	0	0	0	
[53]	0	0	0	
[54]	55	151	1	
[55]	0	0	0	
[56]	13	160	0	
[57]	14	160	0	
[58]	15	160	0	
[59]	16	160	0	
[60]	66	160	0	
[61]	67	160	0	
[62]	68	160	0	
[63]	69	160	0	
[64]	10	161	1	
[65]	11	161	1	
[66]	12	162	2	
[67]	24	163	2	
[68]	25	163	2	
[69]	0	0	0	
[70]	32	167	2	
[71]	33	169	4	
[72]	34	168	3	
[73]	0	0	0	
[74]	48	173	0	
[75]	49	176	0	
[76]	45	177	4	
[77]	46	177	4	
[78]	47	179	6	
[79]	0	0	0	
[80]	122	251	1	
[81]	122	251	1	
[82]	0	0	0	
[83]	142	501	0	
[84]	370	501	0	
[85]	135	515	14	
[86]	0	0	0	
[87]	101	601	0	
[88]	101	601	0	
[89]	102	601	0	
[90]	102	601	0	
[91]	103	601	0	
[92]	103	601	0	
[93]	104	601	0	
[94]	104	601	0	
[95]	105	601	0	
[96]	105	601	0	
[97]	106	601	0	
[98]	106	601	0	
[99]	205	601	0	
[100]	107	603	0	
[101]	107	603	0	
[102]	108	604	0	
[103]	108	604	0	
[104]	132	607	7	
[105]	132	607	7	
[106]	231	687	87	
[107]	0	0	0	
[108]	2015	2379	365	
[109]	0	0	0	
[110]	2017	65534	32767	
	[Jos Dones]
	OID	Departure	Delay
[1]	20	7	0	
[2]	13	12	0	
[3]	31	65	0	
[4]	206	105	0	
[5]	206	113	8	
[6]	55	151	0	
[7]	10	161	0	
[8]	32	167	0	
[9]	35	170	1	
[10]	45	177	0	
[11]	122	251	0	
[12]	135	508	0	
[13]	135	515	7	
[14]	142	595	14	
[15]	132	607	0	
[16]	2015	2379	0	
[17]	2017	65534	0	
[Average Delay]	265.64 ms
[Success Rate]	0 %
