	OID	Arrival	Duration	TimeOut
(1)	20	1	6	7
(2)	21	1	5	7
(3)	22	1	6	7
(4)	23	1	1	6
(5)	24	1	1	7
(6)	120	1	500	502
(7)	120	1	500	502
(8)	121	1	10	11
(9)	121	1	10	11
(10)	272	1	5	94
(11)	131	2	95	446
(12)	101	3	9	12
(13)	112	5	6	13
(14)	103	6	7	15
(15)	106	6	9	17
(16)	108	6	8	18
(17)	111	6	4	508
(18)	111	6	4	508
(19)	115	6	9	509
(20)	115	6	9	509
(21)	116	6	6	507
(22)	116	6	6	507
(23)	119	6	450	500
(24)	119	6	450	500
(25)	298	6	85	106
(26)	13	7	5	14
(27)	14	7	5	13
(28)	15	7	5	14
(29)	16	7	5	13
(30)	17	10	5	15
(31)	105	10	6	20
(32)	18	11	4	15
(33)	104	11	9	22
(34)	19	12	3	15
(35)	20	13	2	15
(36)	31	15	50	65
(37)	32	16	2	18
(38)	33	16	2	18
(39)	34	16	1	19
(40)	35	16	1	19
(41)	36	16	1	20
(42)	37	16	1	20
(43)	38	16	1	21
(44)	39	16	1	21
(45)	40	16	1	22
(46)	41	16	1	22
(47)	42	16	1	66
(48)	267	30	51	131
(49)	117	45	8	53
(50)	21	50	100	150
(51)	22	50	10	160
(52)	23	50	100	150
(53)	54	50	10	160
(54)	274	50	98	408
(55)	206	97	8	189
(56)	55	150	1	151
(57)	10	160	1	161
(58)	11	160	1	161
(59)	12	160	1	161
(60)	13	160	1	161
(61)	14	160	1	162
(62)	15	160	1	161
(63)	16	160	1	161
(64)	66	160	1	161
(65)	67	160	1	161
(66)	68	160	1	161
(67)	69	160	1	161
(68)	24	161	2	163
(69)	25	161	2	163
(70)	32	165	2	167
(71)	33	165	4	169
(72)	34	165	1	168
(73)	35	167	2	171
(74)	45	173	4	177
(75)	46	173	3	176
(76)	47	173	3	179
(77)	48	173	1	174
(78)	49	176	1	177
(79)	122	250	1	251
(80)	122	250	1	251
(81)	135	501	7	515
(82)	135	501	7	515
(83)	142	501	80	610
(84)	142	501	80	610
(85)	370	501	82	583
(86)	132	600	7	607
(87)	132	600	7	607
(88)	231	600	87	687
(89)	101	601	6	608
(90)	101	601	6	608
(91)	102	601	5	608
(92)	102	601	5	608
(93)	103	601	1	608
(94)	103	601	1	608
(95)	104	601	3	608
(96)	104	601	3	608
(97)	105	601	2	608
(98)	105	601	2	608
(99)	106	601	1	608
(100)	106	601	1	608
(101)	205	601	8	609
(102)	107	603	3	612
(103)	107	603	3	612
(104)	108	604	3	615
(105)	108	604	3	615
(106)	2015	2014	365	2379
(107)	2017	32767	32767	65534
