OID	Arrival	Duration	TimeOut
20	1	6	35
21	1	5	35
22	1	6	35
23	1	1	25
24	1	1	35
120	1	500	4985
120	1	500	4985
121	1	10	75
121	1	10	75
272	1	5	905
131	2	95	4425
101	3	9	85
112	5	6	95
103	6	7	115
106	6	9	135
108	6	8	145
111	6	4	5045
111	6	4	5045
115	6	9	5055
115	6	9	5055
116	6	6	5035
116	6	6	5035
119	6	450	4965
119	6	450	4965
298	6	85	1025
13	7	5	105
14	7	5	95
15	7	5	105
16	7	5	95
17	10	5	115
105	10	6	165
18	11	4	115
104	11	9	185
19	12	3	115
20	13	2	115
31	15	50	615
32	16	2	145
33	16	2	145
34	16	1	155
35	16	1	155
36	16	1	165
37	16	1	165
38	16	1	175
39	16	1	175
40	16	1	185
41	16	1	185
42	16	1	625
267	30	51	131
117	45	8	495
21	50	100	1465
22	50	10	1565
23	50	100	1465
54	50	10	1565
274	50	98	4045
206	97	8	1855
55	150	1	1475
10	160	1	1575
11	160	1	1575
12	160	1	1575
13	160	1	1575
14	160	1	1585
15	160	1	1575
16	160	1	1575
66	160	1	1575
67	160	1	1575
68	160	1	1575
69	160	1	1575
24	161	2	1595
25	161	2	1595
32	165	2	1635
33	165	4	1655
34	165	1	1645
35	167	2	1675
45	173	4	1735
46	173	3	1725
47	173	3	1755
48	173	1	1705
49	176	1	1735
122	250	1	2475
122	250	1	2475
135	501	7	5115
135	501	7	5115
142	501	80	6065
142	501	80	6065
370	501	82	5795
132	600	7	6035
132	600	7	6035
231	600	87	6835
101	601	6	6045
101	601	6	6045
102	601	5	6045
102	601	5	6045
103	601	1	6045
103	601	1	6045
104	601	3	6045
104	601	3	6045
105	601	2	6045
105	601	2	6045
106	601	1	6045
106	601	1	608
205	601	8	6055
107	603	3	6085
107	603	3	6085
108	604	3	6115
108	604	3	6115
2015	2014	365	23755
2017	32767	32767	655305
