	OID	Arrival	Duration	TimeOut
(1)	10	2	5	10
(2)	12	5	6	13
(3)	3	6	7	15
(4)	6	6	9	17
(5)	8	6	8	18
(6)	5	10	6	20
(7)	4	11	9	22
(8)	220	51	500	552
(9)	221	51	10	61
(10)	211	56	496	558
(11)	215	56	9	559
(12)	216	56	6	557
(13)	219	56	450	550
(14)	222	250	1	251
(15)	235	551	7	565
(16)	242	557	3	560
(17)	232	600	7	608
(18)	201	601	6	608
(19)	202	601	5	608
(20)	203	601	1	608
(21)	204	601	3	608
(22)	205	601	2	608
(23)	206	601	1	608
(24)	301	750	100	850
(25)	302	750	10	860
(26)	303	750	100	850
(27)	304	750	10	860
(28)	305	850	1	851
(29)	306	860	1	861
(30)	307	860	1	861
(31)	308	860	1	861
(32)	309	860	1	861
(33)	310	860	1	861
(34)	311	860	1	861
(35)	312	860	1	861
(36)	313	860	1	861
(37)	314	860	1	862
(38)	315	860	1	861
(39)	316	860	1	861
(40)	324	861	2	863
(41)	325	861	2	863
(42)	332	865	2	867
(43)	333	865	4	869
(44)	334	865	1	868
(45)	335	867	2	871
(46)	345	873	4	877
(47)	346	873	3	876
(48)	347	873	3	879
(49)	348	873	1	874
(50)	349	876	1	877
(51)	420	1001	6	1007
(52)	421	1001	5	1007
(53)	422	1001	6	1007
(54)	423	1001	1	1006
(55)	424	1001	1	1007
(56)	413	1007	5	1014
(57)	414	1007	5	1013
(58)	415	1007	5	1014
(59)	416	1007	5	1013
(60)	417	1010	5	1015
(61)	418	1011	4	1015
(62)	419	1012	3	1015
(63)	420	1013	2	1015
(64)	431	1015	50	1065
(65)	432	1016	2	1018
(66)	433	1016	2	1018
(67)	434	1016	1	1019
(68)	435	1016	1	1019
(69)	436	1016	1	1020
(70)	437	1016	1	1020
(71)	438	1016	1	1021
(72)	439	1016	1	1021
(73)	440	1016	1	1022
(74)	441	1016	1	1022
(75)	442	1016	1	1066
(76)	2015	2014	365	2379
(77)	2017	32767	32767	65534
