	[Abort Jobs]
	OID	Abort	Delay
[1]	8	6	0
[2]	4	11	0
[3]	220	51	0
[4]	221	51	0
[5]	211	56	0
[6]	215	56	0
[7]	216	56	0
[8]	219	56	0
[9]	222	250	0
[10]	235	551	0
[11]	242	557	0
[12]	232	600	0
[13]	201	601	0
[14]	202	601	0
[15]	203	601	0
[16]	204	601	0
[17]	205	601	0
[18]	206	601	0
[19]	301	750	0
[20]	302	750	0
[21]	303	750	0
[22]	304	750	0
[23]	305	850	0
[24]	306	860	0
[25]	307	860	0
[26]	308	860	0
[27]	309	860	0
[28]	310	860	0
[29]	311	860	0
[30]	312	860	0
[31]	313	860	0
[32]	314	860	0
[33]	315	860	0
[34]	316	860	0
[35]	324	861	0
[36]	325	861	0
[37]	332	865	0
[38]	333	865	0
[39]	334	865	0
[40]	335	867	0
[41]	345	873	0
[42]	346	873	0
[43]	347	873	0
[44]	348	873	0
[45]	349	876	0
[46]	420	1001	0
[47]	421	1001	0
[48]	422	1001	0
[49]	423	1001	0
[50]	424	1001	0
[51]	413	1007	0
[52]	414	1007	0
[53]	415	1007	0
[54]	416	1007	0
[55]	417	1010	0
[56]	418	1011	0
[57]	419	1012	0
[58]	420	1013	0
[59]	431	1015	0
[60]	432	1016	0
[61]	433	1016	0
[62]	434	1016	0
[63]	435	1016	0
[64]	436	1016	0
[65]	437	1016	0
[66]	438	1016	0
[67]	439	1016	0
[68]	440	1016	0
[69]	441	1016	0
[70]	442	1016	0
[71]	2015	2014	0
[72]	2017	32767	0
[73]	3	15	9
[74]	6	17	11
[75]	5	20	10
	[Jobs Done]
	OID	Departure	Delay
[1]	10	7	0
[2]	12	13	2
[Average Delay]	0.42 ms
[Success Rate]	2.60 %
