OID     Arrival Duration        TimeOut
 20     1       6        7
 21     1       5        7
 22     1       6        7
 23     1       1        6
 24     1       1        7
120     1     500      502
120     1     500      502
121     1      10       11
121     1      10       11
272     1       5       94
131     2      95      446
101     3       9       12
112     5       6       13
103     6       7       15
106     6       9       17
108     6       8       18
111     6       4      508
111     6       4      508
115     6       9      509
115     6       9      509
116     6       6      507
116     6       6      507
119     6     450      500
119     6     450      500
298     6      85      106
 13     7       5       14
 14     7       5       13
 15     7       5       14
 16     7       5       13
 17    10       5       15
105    10       6       20
 18    11       4       15
104    11       9       22
 19    12       3       15
 20    13       2       15
 31    15      50       65
 32    16       2       18
 33    16       2       18
 34    16       1       19
 35    16       1       19
 36    16       1       20
 37    16       1       20
267    30      51      131
117    45       8       53
 21    50     100      150
 22    50      10      160
 23    50     100      150
 54    50      10      160
274    50      98      408
206    97       8      189
 55   150       1      151
 10   160       1      161
 11   160       1      161
 12   160       1      161
 13   160       1      161
 14   160       1      162
 15   160       1      161
 16   160       1      161
 66   160       1      161
 67   160       1      161
 68   160       1      161
 69   160       1      161
 24   161       2      163
 25   161       2      163
 32   165       2      167
 33   165       4      169
 34   165       1      168
 35   167       2      171
 45   173       4      177
 46   173       3      176
 47   173       3      179
 48   173       1      174
 49   176       1      177
122   250       1      251
122   250       1      251
135   501       7      515
135   501       7      515
142   501      80      610
142   501      80      610
370   501      82      583
132   600       7      607
132   600       7      607
231   600      87      687
101   601       6      608
101   601       6      608
102   601       5      608
102   601       5      608
103   601       1      608
103   601       1      608
104   601       3      608
104   601       3      608
105   601       2      608
105   601       2      608
106   601       1      608
106   601       1      608
205   601       8      609
107   603       3      612
107   603       3      612
108   604       3      615
108   604       3      615
