	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	6	2	17	11	
[2]	8	1	18	12	
[3]	5	1	20	10	
[4]	4	2	22	11	
[5]	222	2	520	270	
[6]	211	1	558	502	
[7]	216	1	558	502	
[8]	242	2	560	3	
[9]	202	1	608	7	
[10]	204	1	608	7	
[11]	206	1	608	7	
[12]	205	2	608	7	
[13]	303	1	850	100	
[14]	314	0	860	0	
[15]	315	0	860	0	
[16]	316	0	860	0	
[17]	308	1	861	1	
[18]	310	1	861	1	
[19]	312	1	861	1	
[20]	309	2	861	1	
[21]	311	2	861	1	
[22]	313	2	861	1	
[23]	348	2	876	3	
[24]	347	1	879	6	
[25]	423	2	1006	5	
[26]	422	1	1007	6	
[27]	424	1	1007	6	
[28]	416	2	1013	6	
[29]	415	1	1014	7	
[30]	417	1	1015	5	
[31]	419	1	1015	3	
[32]	418	2	1015	4	
[33]	420	2	1015	2	
[34]	439	0	1016	0	
[35]	440	0	1016	0	
[36]	441	0	1016	0	
[37]	442	0	1016	0	
[38]	433	1	1065	49	
[39]	435	1	1065	49	
[40]	437	1	1065	49	
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	10	1	7	0	
[2]	12	2	11	0	
[3]	3	1	14	1	
[4]	221	2	61	0	
[5]	215	2	70	5	
[6]	219	2	520	14	
[7]	220	1	551	0	
[8]	235	2	558	0	
[9]	232	1	607	0	
[10]	201	2	607	0	
[11]	203	2	608	6	
[12]	302	2	760	0	
[13]	304	2	770	10	
[14]	301	1	850	0	
[15]	305	1	851	0	
[16]	306	1	861	0	
[17]	307	2	861	0	
[18]	324	1	863	0	
[19]	325	2	863	0	
[20]	332	1	867	0	
[21]	334	1	868	2	
[22]	333	2	869	0	
[23]	335	1	870	1	
[24]	346	2	876	0	
[25]	345	1	877	0	
[26]	349	2	877	0	
[27]	421	2	1006	0	
[28]	420	1	1007	0	
[29]	413	1	1012	0	
[30]	414	2	1012	0	
[31]	432	2	1018	0	
[32]	434	2	1019	2	
[33]	436	2	1020	3	
[34]	438	2	1021	4	
[35]	431	1	1065	0	
[36]	2015	1	2379	0	
[37]	2017	1	65534	0	
[Average Delay]	22.12 ms
[Success Rate]	48.05 %
