	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	8	1	18	12
[2]	6	2	11	5
[3]	4	2	17	6
[4]	211	1	558	502
[5]	216	1	558	502
[6]	222	1	558	308
[7]	242	1	560	3
[8]	202	1	608	7
[9]	204	1	608	7
[10]	206	1	608	7
[11]	205	2	608	7
[12]	303	1	850	100
[13]	314	0	860	0
[14]	315	0	860	0
[15]	316	0	860	0
[16]	308	1	861	1
[17]	310	1	861	1
[18]	312	1	861	1
[19]	309	2	861	1
[20]	311	2	861	1
[21]	313	2	861	1
[22]	347	1	879	6
[23]	348	2	876	3
[24]	422	1	1007	6
[25]	424	1	1007	6
[26]	423	2	1006	5
[27]	417	1	1015	5
[28]	418	1	1015	4
[29]	419	1	1015	3
[30]	420	1	1015	2
[31]	432	1	1065	49
[32]	433	1	1065	49
[33]	434	1	1065	49
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	10	1	7	0
[2]	12	2	11	0
[3]	3	1	14	1
[4]	5	2	17	1
[5]	220	1	551	0
[6]	221	2	61	0
[7]	215	2	70	5
[8]	219	2	520	14
[9]	232	1	607	0
[10]	201	2	607	0
[11]	203	2	608	6
[12]	301	1	850	0
[13]	302	2	760	0
[14]	304	2	770	10
[15]	305	1	851	0
[16]	306	1	861	0
[17]	307	2	861	0
[18]	325	1	863	0
[19]	324	2	863	0
[20]	332	1	867	0
[21]	333	2	869	0
[22]	334	1	868	2
[23]	335	1	870	1
[24]	345	1	877	0
[25]	346	2	876	0
[26]	349	2	877	0
[27]	420	1	1007	0
[28]	421	2	1006	0
[29]	413	1	1012	0
[30]	431	1	1065	0
[31]	2015	1	2379	0
[32]	2017	2	65534	0
[Average Delay] 26.14 ms
[Success Rate]  49.23 %
