	[Abort Jobs]
	OID	Abort	Delay
[1]	108	6	0
[2]	105	10	0
[3]	104	11	0
[4]	112	13	8
[5]	103	15	9
[6]	106	17	11
[7]	116	6	0
[8]	119	6	0
[9]	122	250	0
[10]	121	501	500
[11]	115	509	503
[12]	135	515	14
[13]	104	601	0
[14]	105	601	0
[15]	106	601	0
[16]	107	603	0
[17]	108	604	0
[18]	101	608	7
[19]	102	608	7
[20]	103	608	7
[21]	23	160	110
[22]	54	160	110
[23]	55	160	10
[24]	14	160	0
[25]	15	160	0
[26]	16	160	0
[27]	66	160	0
[28]	67	160	0
[29]	68	160	0
[30]	69	160	0
[31]	11	161	1
[32]	12	161	1
[33]	13	161	1
[34]	25	163	2
[35]	33	169	4
[36]	34	169	4
[37]	49	176	0
[38]	46	177	4
[39]	47	179	6
[40]	48	179	6
[41]	111	6	0
[42]	115	6	0
[43]	116	6	0
[44]	119	6	0
[45]	298	6	0
[46]	267	30	0
[47]	117	45	0
[48]	274	50	0
[49]	206	97	0
[50]	122	250	0
[51]	121	501	500
[52]	272	501	500
[53]	131	501	499
[54]	370	588	87
[55]	103	601	0
[56]	104	601	0
[57]	105	601	0
[58]	106	601	0
[59]	205	601	0
[60]	107	603	0
[61]	108	604	0
[62]	231	687	87
[63]	101	687	86
[64]	102	687	86
[65]	24	1	0
[66]	21	7	6
[67]	22	7	6
[68]	23	7	6
[69]	17	10	0
[70]	18	11	0
[71]	14	13	6
[72]	15	14	7
[73]	16	14	7
[74]	19	15	3
[75]	20	15	2
[76]	35	16	0
[77]	36	16	0
[78]	37	16	0
[79]	38	16	0
[80]	39	16	0
[81]	40	16	0
[82]	41	16	0
[83]	42	16	0
[84]	32	65	49
[85]	33	65	49
[86]	34	65	49
	[Jobs Done]
	OID	Departure	Delay
[1]	101	12	0
[2]	120	501	0
[3]	111	505	495
[4]	142	595	14
[5]	132	607	0
[6]	21	150	0
[7]	22	160	100
[8]	10	161	0
[9]	24	163	0
[10]	32	167	0
[11]	35	171	2
[12]	45	177	0
[13]	120	501	0
[14]	135	508	0
[15]	142	588	7
[16]	132	607	0
[17]	20	7	0
[18]	13	12	0
[19]	31	65	0
[20]	2015	2379	0
[21]	2017	65534	0
[Average Delay]	37.18 ms
[Success Rate]	19.63 %
