	[Abort Jobs]
	OID	Abort	Delay
[1]	111	6	0
[2]	115	6	0
[3]	116	6	0
[4]	119	6	0
[5]	298	6	0
[6]	267	30	0
[7]	117	45	0
[8]	274	50	0
[9]	206	97	0
[10]	122	250	0
[11]	121	501	500
[12]	272	501	500
[13]	131	501	499
[14]	370	588	87
[15]	103	601	0
[16]	104	601	0
[17]	105	601	0
[18]	106	601	0
[19]	205	601	0
[20]	107	603	0
[21]	108	604	0
[22]	231	687	87
[23]	101	687	86
[24]	102	687	86
	[Jobs Done]
	OID	Departure	Delay
[1]	120	501	0
[2]	135	508	0
[3]	142	588	7
[4]	132	607	0
[Average Delay]	66.14 ms
[Success Rate]	14.29 %
