	[Abort Jobs]
	OID	Abort	Delay
[1]	8	6	0
[2]	4	11	0
[3]	3	15	9
[4]	6	17	11
[5]	5	20	10
[6]	216	56	0
[7]	219	56	0
[8]	222	250	0
[9]	221	551	500
[10]	211	558	502
[11]	215	559	503
[12]	235	565	14
[13]	242	565	8
[14]	204	601	0
[15]	205	601	0
[16]	206	601	0
[17]	201	608	7
[18]	202	608	7
[19]	203	608	7
[20]	303	860	110
[21]	304	860	110
[22]	305	860	10
[23]	310	860	0
[24]	311	860	0
[25]	312	860	0
[26]	313	860	0
[27]	314	860	0
[28]	315	860	0
[29]	316	860	0
[30]	307	861	1
[31]	308	861	1
[32]	309	861	1
[33]	325	863	2
[34]	333	869	4
[35]	334	869	4
[36]	349	876	0
[37]	346	877	4
[38]	347	879	6
[39]	348	879	6
[40]	424	1001	0
[41]	421	1007	6
[42]	422	1007	6
[43]	423	1007	6
[44]	417	1010	0
[45]	418	1011	0
[46]	414	1013	6
[47]	415	1014	7
[48]	416	1014	7
[49]	419	1015	3
[50]	420	1015	2
[51]	435	1016	0
[52]	436	1016	0
[53]	437	1016	0
[54]	438	1016	0
[55]	439	1016	0
[56]	440	1016	0
[57]	441	1016	0
[58]	442	1016	0
[59]	432	1065	49
[60]	433	1065	49
[61]	434	1065	49
	[Jobs Done]
	OID	Departure	Delay
[1]	10	7	0
[2]	12	13	2
[3]	220	551	0
[4]	232	607	0
[5]	301	850	0
[6]	302	860	100
[7]	306	861	0
[8]	324	863	0
[9]	332	867	0
[10]	335	871	2
[11]	345	877	0
[12]	420	1007	0
[13]	413	1012	0
[14]	431	1065	0
[15]	2015	2379	0
[16]	2017	65534	0
[Average Delay]	27.68 ms
[Success Rate]	20.78 %
