OID	Arrival	Duration	TimeOut
10	2	5	10
12	5	6	13
3	6	7	15
6	6	9	17
8	6	8	18
5	10	6	20
4	11	9	22
220	51	500	552
221	51	10	61
211	56	496	558
215	56	9	559
216	56	6	557
219	56	450	550
222	250	1	251
235	551	7	565
242	557	3	560
232	600	7	608
201	601	6	608
202	601	5	608
203	601	1	608
204	601	3	608
205	601	2	608
206	601	1	608
301	750	100	850
302	750	10	860
303	750	100	850
304	750	10	860
305	850	1	851
306	860	1	861
307	860	1	861
308	860	1	861
309	860	1	861
310	860	1	861
311	860	1	861
312	860	1	861
313	860	1	861
314	860	1	862
315	860	1	861
316	860	1	861
324	861	2	863
325	861	2	863
332	865	2	867
333	865	4	869
334	865	1	868
335	867	2	871
345	873	4	877
346	873	3	876
347	873	3	879
348	873	1	874
349	876	1	877
420	1001	6	1007
421	1001	5	1007
422	1001	6	1007
423	1001	1	1006
424	1001	1	1007
413	1007	5	1014
414	1007	5	1013
415	1007	5	1014
416	1007	5	1013
417	1010	5	1015
418	1011	4	1015
419	1012	3	1015
420	1013	2	1015
431	1015	50	1065
432	1016	2	1018
433	1016	2	1018
434	1016	1	1019
435	1016	1	1019
436	1016	1	1020
437	1016	1	1020
438	1016	1	1021
439	1016	1	1021
440	1016	1	1022
441	1016	1	1022
442	1016	1	1066
2015	2014	365	2379
2017	32767	32767	65534
