	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	6	2	17	11	
[2]	8	1	18	12	
[3]	4	2	22	11	
[4]	5	1	20	10	
[5]	222	2	520	270	
[6]	211	1	558	502	
[7]	216	1	558	502	
[8]	242	2	560	3	
[9]	202	1	608	7	
[10]	204	1	608	7	
[11]	206	1	608	7	
[12]	205	2	608	7	
[13]	303	1	850	100	
[14]	314	0	860	0	
[15]	315	0	860	0	
[16]	316	0	860	0	
[17]	308	1	861	1	
[18]	310	1	861	1	
[19]	312	1	861	1	
[20]	309	2	861	1	
[21]	311	2	861	1	
[22]	313	2	861	1	
[23]	325	1	863	2	
[24]	348	2	876	3	
[25]	347	1	879	6	
[26]	423	2	1006	5	
[27]	422	1	1007	6	
[28]	424	1	1007	6	
[29]	415	1	1014	7	
[30]	416	2	1013	6	
[31]	418	2	1015	4	
[32]	417	1	1015	5	
[33]	419	1	1015	3	
[34]	420	2	1015	2	
[35]	439	0	1016	0	
[36]	440	0	1016	0	
[37]	441	0	1016	0	
[38]	442	0	1016	0	
[39]	433	1	1065	49	
[40]	435	1	1065	49	
[41]	437	1	1065	49	
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	10	1	7	0	
[2]	12	2	12	1	
[3]	3	1	14	1	
[4]	220	1	551	0	
[5]	221	2	61	0	
[6]	215	2	70	5	
[7]	219	2	520	14	
[8]	235	2	558	0	
[9]	232	1	607	0	
[10]	201	2	607	0	
[11]	203	2	608	6	
[12]	301	1	850	0	
[13]	302	2	760	0	
[14]	304	2	770	10	
[15]	305	2	851	0	
[16]	306	1	861	0	
[17]	307	2	861	0	
[18]	324	1	863	0	
[19]	332	1	867	0	
[20]	333	2	869	0	
[21]	334	1	868	2	
[22]	335	1	870	1	
[23]	345	1	877	0	
[24]	346	2	876	0	
[25]	349	2	877	0	
[26]	420	1	1007	0	
[27]	421	2	1006	0	
[28]	413	2	1012	0	
[29]	414	1	1012	0	
[30]	431	1	1065	0	
[31]	432	2	1018	0	
[32]	434	2	1019	2	
[33]	436	2	1020	3	
[34]	438	2	1021	4	
[35]	2015	1	2379	0	
[36]	2017	1	65534	0	
[Average Delay]	22.16 ms
[Success Rate]	46.75 %
